crc32,name,family,archive,local_off,size,ntex,dims,fmt
0x8728AB41,,uniform_component?,0A,0x60737000,1995831,6,2048x512,DXN
0x87BDA123,,uniform_component?,0A,0x5A2F4000,1843005,6,2048x512,DXN
0x8B19F616,,uniform_component?,0B,0xA39F800,2213214,6,2048x512,DXN
0x8B5ADC2F,,uniform_component?,0A,0x5D459800,1982330,6,2048x512,DXN
0x8CD27303,,uniform_component?,0B,0x8FD5800,1813616,6,2048x512,DXN
0x8D1264B7,,uniform_component?,0B,0x140C5000,2339303,6,2048x512,DXN
0x8D863579,,uniform_component?,0B,0x17A18000,2009063,6,2048x512,DXN
0x8D89186D,,uniform_component?,0B,0x12FFA800,2312357,6,2048x512,DXN
0x8E468BB9,,uniform_component?,0A,0x612BD800,1812974,6,2048x512,DXN
0x8FDFA405,,uniform_component?,0B,0x15440000,2113925,6,2048x512,DXN
0x8FF94E23,,uniform_component?,0A,0x5D63D800,1942979,6,2048x512,DXN
0x92F65334,,uniform_component?,0A,0x5DF95800,1978375,6,2048x512,DXN
0x956887C2,,uniform_component?,0A,0x38AE8800,1822395,6,2048x512,DXN
0x9655C138,,uniform_component?,0A,0x5E179000,1931665,6,2048x512,DXN
0x9736FBEB,,uniform_component?,0B,0x17678800,1776449,6,2048x512,DXN
0x975C88BD,,uniform_component?,0A,0x5473B000,1901039,6,2048x512,DXN
0x98546A8B,,uniform_component?,0A,0x5CB17800,1946582,6,2048x512,DXN
0x99FCABBB,,uniform_component?,0B,0xF3BD000,2137303,6,2048x512,DXN
0x9A27B656,,uniform_component?,0A,0x5F622800,2008519,6,2048x512,DXN
0x9A9CD38F,,uniform_component?,0A,0x56108800,1829630,6,2048x512,DXN
0x9CB5450F,uniform_lat_home.iff,uniform,0B,0x9D8D800,2142111,6,2048x512,DXN
0x9CF7F887,,uniform_component?,0A,0x5D0A2000,1914531,6,2048x512,DXN
0x9E6461DC,,uniform_component?,0A,0x554F6800,2338063,6,2048x512,DXN
0x9E84245A,,uniform_component?,0A,0x5F80D000,2010821,6,2048x512,DXN
0xA3B5D6BE,uniform_usa_away.iff,uniform,0B,0x16C9D800,2080038,6,2048x512,DXN
0xA712B7DB,,uniform_component?,0A,0x62291800,2079253,6,2048x512,DXN
0xAAF470EA,,uniform_component?,0B,0xE3E6800,2187418,6,2048x512,DXN
0xAB0D74BD,,uniform_component?,0A,0x5B0D5800,1996263,6,2048x512,DXN
0xAB9A7327,uniform_cze_home.iff,uniform,0A,0x60CC3800,1824308,6,2048x512,DXN
0xAD6CA119,,uniform_component?,0B,0x957D000,2021527,6,2048x512,DXN
0xAE91CACB,,uniform_component?,0A,0x55105800,2048031,6,2048x512,DXN
0xAFAEE6B1,,uniform_component?,0A,0x5B683000,1958945,6,2048x512,DXN
0xAFEA2C99,,uniform_component?,0A,0x58E02800,1916169,6,2048x512,DXN
0xB1F91201,,uniform_component?,0A,0x5690D800,2242587,6,2048x512,DXN
0xB2A1FBA6,,uniform_component?,0A,0x5BFC8800,2012921,6,2048x512,DXN
0xB4D1D7D6,,uniform_component?,0A,0x6437B800,2167076,6,2048x512,DXN
0xB6A5B5A6,,uniform_component?,0B,0xCD58800,1849611,6,2048x512,DXN
0xB7EAF9E9,uniform_sui_away.iff,uniform,0B,0x14537800,1904320,6,2048x512,DXN
0xB803C219,,uniform_component?,0A,0x5EE6E000,1997516,6,2048x512,DXN
0xB842FBF9,,uniform_component?,0B,0xFBD6000,2051731,6,2048x512,DXN
0xBCA05015,,uniform_component?,0A,0x5F056000,2035553,6,2048x512,DXN
0xBD259B1A,,uniform_component?,0A,0x61858000,2314501,6,2048x512,DXN
0xBD6FCC64,,uniform_component?,0A,0x57C4B000,1893822,6,2048x512,DXN
0xBDC1D671,,uniform_component?,0B,0x150D6000,1788795,6,2048x512,DXN
0xBF410F78,,uniform_component?,0B,0x15644800,2148530,6,2048x512,DXN
0xC0309AE8,,uniform_component?,0B,0x105D5000,1671313,6,2048x512,DXN
0xC0575E2E,,uniform_component?,0B,0x10CF6800,1934951,6,2048x512,DXN
0xC4D1F65F,,uniform_component?,0A,0x5A8A1800,2027669,6,2048x512,DXN
0xC7EBAFF8,,uniform_component?,0B,0xC66A800,1659925,6,2048x512,DXN
0xC94C91BE,uniform_ger_away.iff,uniform,0B,0x8278000,1907477,6,2048x512,DXN
0xC98FBDBB,,uniform_component?,0A,0x59C78000,2449365,6,2048x512,DXN
0xCA634C71,,uniform_component?,0A,0x5C574800,1920650,6,2048x512,DXN
0xCEA49399,,uniform_component?,0A,0x566FC800,2166209,6,2048x512,DXN
0xCEC0DE7D,,uniform_component?,0A,0x5C749800,1993044,6,2048x512,DXN
0xD0F16C26,,uniform_component?,0B,0x11B16800,2339637,6,2048x512,DXN
0xD21BDFF8,,uniform_component?,0B,0xAC46800,2147104,6,2048x512,DXN
0xD34A36EB,,uniform_component?,0A,0x58080800,2139553,6,2048x512,DXN
0xD3CFC36A,,uniform_component?,0A,0x5BA45800,1981509,6,2048x512,DXN
0xD76C5166,,uniform_component?,0A,0x5BC29800,1896538,6,2048x512,DXN
0xD92CC335,,uniform_component?,0B,0x10ECF000,2187297,6,2048x512,DXN
0xDB8EA831,,uniform_component?,0B,0x18731000,1866778,6,2048x512,DXN
0xDC3BFD1E,,uniform_component?,0A,0x58495800,2518618,6,2048x512,DXN
0xDEADCB5F,uniform_can_home.iff,uniform,0A,0x55917000,1987439,6,2048x512,DXN
0xDEF8BFE5,,uniform_component?,0B,0x1628A000,2249143,6,2048x512,DXN
0xDFAA0829,uniform_dmk_away.iff,uniform,0A,0x62A5C000,2172774,6,2048x512,DXN
0xE0D29871,,uniform_component?,0B,0xCF1C800,2066908,6,2048x512,DXN
0xE1298398,,uniform_component?,0A,0x61CC3000,2075164,6,2048x512,DXN
0xE1AE9E32,,uniform_component?,0A,0x38E62800,1958330,6,2048x512,DXN
0xE1C94DF4,,uniform_component?,0A,0x6370F000,2094025,6,2048x512,DXN
0xE2B5BAA1,uniform_ukr_home.iff,uniform,0B,0x16AA5000,2065228,6,2048x512,DXN
0xE2E50181,,uniform_component?,0A,0x5FBE3000,1970174,6,2048x512,DXN
0xE646938D,,uniform_component?,0A,0x6019C000,2058457,6,2048x512,DXN
0xE6D609E0,,uniform_component?,0A,0x39041000,2158359,6,2048x512,DXN
0xE8B66C1A,,uniform_component?,0B,0xB49C000,1868035,6,2048x512,DXN
0xEA34E4E3,,uniform_component?,0A,0x5E529000,1944391,6,2048x512,DXN
0xEABD0DAD,,uniform_component?,0A,0x54EEA000,2208954,6,2048x512,DXN
0xEC957F4A,,uniform_component?,0A,0x39E33000,2098027,6,2048x512,DXN
0xEE0102EF,,uniform_component?,0A,0x597FF800,2316775,6,2048x512,DXN
0xEE9776EF,,uniform_component?,0A,0x5EAB2800,1914278,6,2048x512,DXN
0xF0628DD8,,uniform_component?,0B,0xE5FD000,1792026,6,2048x512,DXN
0xF124248F,uniform_bel_home.iff,uniform,0A,0x5360C800,1990382,6,2048x512,DXN
0xF1A36398,,uniform_component?,0A,0x5AC80800,2266577,6,2048x512,DXN
0xF56F5A22,,uniform_component?,0A,0x571A2000,2274996,6,2048x512,DXN
0xF5BAA0A6,uniform_swe_away.iff,uniform,0B,0x148D9800,2028941,6,2048x512,DXN
0xF61C3CC9,,uniform_component?,0B,0xE03F800,1914295,6,2048x512,DXN
0xF64109E9,,uniform_component?,0A,0x53C7D800,2266243,6,2048x512,DXN
0xF6E3009A,uniform_slo_home.iff,uniform,0B,0x1384A000,1814987,6,2048x512,DXN
0xF6E49C33,uniform_kaz_home.iff,uniform,0B,0x8810800,2050621,6,2048x512,DXN
0xF73BF9F4,,uniform_component?,0A,0x5DBD2800,1966011,6,2048x512,DXN
0xF7B27E4D,,uniform_component?,0B,0x11F56000,2112632,6,2048x512,DXN
0xF7F7B617,,uniform_component?,0B,0x976B000,2090931,6,2048x512,DXN
0xF837817C,,uniform_component?,0B,0xBE29800,2147973,6,2048x512,DXN
0xF86C2FB2,,uniform_component?,0B,0x1782A800,2019599,6,2048x512,DXN
0xFBE08F21,uniform_2k_away.iff,uniform,0A,0x38484800,2350988,6,2048x512,DXN
0xFCCD5D0A,uniform_fin_home.iff,uniform,0A,0x63D20000,2042503,6,2048x512,DXN
0xFD361632,,uniform_component?,0A,0x593E0800,2160059,6,2048x512,DXN
0x591778D9,,unknown_texture,0B,0x3720D000,234755,5,64x64,565
0xBC158DF0,,unknown_texture,0A,0x37421800,639468,5,256x256,DXT5A
0xD4555C2B,,unknown_texture,0B,0x37775000,278747,4,256x256,DXT4_5
0x004D1DB8,uniform_base_usa_home.iff,uniform_base,0A,0x51F36800,1451788,3,1024x1024,565
0x0090312D,player_head_id_0938.iff,player_portrait,0B,0x25A28000,991581,3,512x512,DXT4_5
0x0365711B,,uniform_base/scenery?,0A,0x413DB000,1231233,3,1024x1024,565
0x03DC92F6,,uniform_base/scenery?,0A,0x40FBC000,1541381,3,1024x1024,565
0x043EF887,,uniform_base/scenery?,0A,0x3C44E000,1480932,3,1024x1024,565
0x050BCD91,blocker_g17.iff,goalie_gear,0B,0x1AE3E000,682863,3,512x512,DXT4_5
0x05121F37,,uniform_base/scenery?,0A,0x3FB26000,1525523,3,1024x1024,565
0x056571F4,,uniform_base/scenery?,0A,0x400AC800,1250405,3,1024x1024,565
0x057B4D05,player_head_id_0398.iff,player_portrait,0B,0x20220800,999138,3,512x512,DXT4_5
0x05884779,,uniform_base/scenery?,0A,0x488AE000,1497460,3,1024x1024,565
0x0710AB4C,,uniform_base/scenery?,0A,0x3E8AD800,1514100,3,1024x1024,565
0x071A6269,player_head_id_0742.iff,player_portrait,0B,0x23945000,1029055,3,512x512,DXT4_5
0x075F408C,player_head_id_0085.iff,player_portrait,0B,0x1CF0B000,970295,3,512x512,DXT4_5
0x076EE895,player_head_id_0853.iff,player_portrait,0B,0x24F8B000,984949,3,512x512,DXT4_5
0x077C19FF,player_head_id_0898.iff,player_portrait,0B,0x25643800,1029290,3,512x512,DXT4_5
0x07C6E317,,uniform_base/scenery?,0A,0x41508000,1231233,3,1024x1024,565
0x0831EA1E,,uniform_base/scenery?,0A,0x4C0F0800,1250398,3,1024x1024,565
0x0862B821,uniform_base_cze_away.iff,uniform_base,0A,0x44B1E000,1485034,3,1024x1024,565
0x086B2F74,player_head_id_0391.iff,player_portrait,0B,0x20035000,1003475,3,512x512,DXT4_5
0x09D0275B,player_head_id_0884.iff,player_portrait,0B,0x2544E000,1010355,3,512x512,DXT4_5
0x0A13DEDC,,uniform_base/scenery?,0A,0x5265F000,1468416,3,1024x1024,565
0x0A487012,,uniform_base/scenery?,0A,0x4A346800,1473900,3,1024x1024,565
0x0B80A02E,player_head_id_0488.iff,player_portrait,0B,0x20F94800,987368,3,512x512,DXT4_5
0x0BE8038A,pad_g16.iff,goalie_gear,0B,0x1A037000,639732,3,512x512,DXT4_5
0x0C4DDB6D,,unknown_texture,0A,0x374EE000,194661,3,128x128,DXT1
0x0E488575,player_head_id_0635.iff,player_portrait,0B,0x223E0800,1036234,3,512x512,DXT4_5
0x0E9936E8,player_head_id_0078.iff,player_portrait,0B,0x1CE2C800,909318,3,512x512,DXT4_5
0x0F9679A8,,unknown_texture,0A,0x51D7800,211974,3,128x128,DXT1
0x0FE1198B,,uniform_base/scenery?,0A,0x4E70B800,1250401,3,1024x1024,565
0x106BC7BF,,uniform_base/scenery?,0A,0x4384E000,1231233,3,1024x1024,565
0x1077890A,player_head_id_0711.iff,player_portrait,0B,0x2317F000,970862,3,512x512,DXT4_5
0x108563E4,player_head_id_0941.iff,player_portrait,0B,0x25B1A800,998597,3,512x512,DXT4_5
0x113E6BCB,player_head_id_0254.iff,player_portrait,0B,0x1E960800,944506,3,512x512,DXT4_5
0x12AD691F,,uniform_base/scenery?,0A,0x4B001000,1543204,3,1024x1024,565
0x12C715FB,player_head_id_0586.iff,player_portrait,0B,0x21B1A000,1039068,3,512x512,DXT4_5
0x12EE6A6B,,uniform_base/scenery?,0A,0x3CFE5000,1250417,3,1024x1024,565
0x134DB5CD,player_head_id_0645.iff,player_portrait,0B,0x225D4000,1013062,3,512x512,DXT4_5
0x135672F6,,uniform_base/scenery?,0A,0x4575D000,1452548,3,1024x1024,565
0x13B6BC9A,,uniform_base/scenery?,0A,0x469A4000,1492823,3,1024x1024,565
0x13D16F5C,,uniform_base/scenery?,0A,0x3ADA9800,1553637,3,1024x1024,565
0x141232EF,uniform_base_sui_home.iff,uniform_base,0A,0x5032B000,1462617,3,1024x1024,565
0x14C855B3,,uniform_base/scenery?,0A,0x43BD5000,1231233,3,1024x1024,565
0x14E4BFFA,player_head_id_0022.iff,player_portrait,0B,0x1C89E000,1019250,3,512x512,DXT4_5
0x1739E5DF,,uniform_base/scenery?,0A,0x50A5A000,1591039,3,1024x1024,565
0x178AEBB8,,unknown_texture,0A,0x4C52000,211980,3,128x128,DXT1
0x1797FFCA,,uniform_base/scenery?,0A,0x3EFF3800,1506939,3,1024x1024,565
0x18EAECC5,player_head_id_0262.iff,player_portrait,0B,0x1EC1E000,959185,3,512x512,DXT4_5
0x1951E4EA,player_head_id_0977.iff,player_portrait,0B,0x25FF3800,975743,3,512x512,DXT4_5
0x19A30E04,player_head_id_0727.iff,player_portrait,0B,0x2365C000,1028133,3,512x512,DXT4_5
0x1A093D40,uniform_base_2k_away.iff,uniform_base,0A,0x3A64E000,1499377,3,1024x1024,565
0x1AC9FE00,,uniform_base/scenery?,0A,0x41D43000,1231233,3,1024x1024,565
0x1C7EF381,,uniform_base/scenery?,0A,0x401DE000,1470940,3,1024x1024,565
0x1C91B957,,unknown_texture,0A,0x36E13800,194661,3,128x128,DXT1
0x1E856E26,,uniform_base/scenery?,0A,0x3B056800,1250418,3,1024x1024,565
0x1EEA8E24,,uniform_base/scenery?,0A,0x3B8E7800,1513268,3,1024x1024,565
0x1F14357D,player_head_id_0309.iff,player_portrait,0B,0x1F2DB800,1001443,3,512x512,DXT4_5
0x1F80A405,player_head_id_0283.iff,player_portrait,0B,0x1EFF9800,992115,3,512x512,DXT4_5
0x2007C2CB,player_head_id_0719.iff,player_portrait,0B,0x23468000,1018202,3,512x512,DXT4_5
0x20642E96,,uniform_base/scenery?,0A,0x496E8000,1473539,3,1024x1024,565
0x2081A2D9,player_head_id_0658.iff,player_portrait,0B,0x227BE000,1018211,3,512x512,DXT4_5
0x215CD160,player_head_id_0297.iff,player_portrait,0B,0x1F1E5800,1006924,3,512x512,DXT4_5
0x228E9D48,,uniform_base/scenery?,0A,0x4E598000,1521588,3,1024x1024,565
0x22E08DB5,player_head_id_0282.iff,player_portrait,0B,0x1EEFC000,1037803,3,512x512,DXT4_5
0x22F27CDF,player_head_id_0249.iff,player_portrait,0B,0x1E86A800,1006583,3,512x512,DXT4_5
0x2332D989,,uniform_base/scenery?,0A,0x427D8000,1231233,3,1024x1024,565
0x235126E4,,unknown_texture,0A,0x4A38800,211974,3,128x128,DXT1
0x236A2D83,player_head_id_0141.iff,player_portrait,0B,0x1DB20800,954485,3,512x512,DXT4_5
0x23E98E0E,uniform_base_fra_away.iff,uniform_base,0A,0x47686000,1468727,3,1024x1024,565
0x2431CD5A,player_head_id_0976.iff,player_portrait,0B,0x25EF8800,1026605,3,512x512,DXT4_5
0x24BEB817,,uniform_base/scenery?,0A,0x450BF800,1491724,3,1024x1024,565
0x24C327B4,player_head_id_0726.iff,player_portrait,0B,0x23561000,1027376,3,512x512,DXT4_5
0x262A40AD,,uniform_base/scenery?,0A,0x4836A000,1523359,3,1024x1024,565
0x26614BD4,uniform_base_aut_home.iff,uniform_base,0A,0x3BD3D800,1482454,3,1024x1024,565
0x26971CDB,uniform_base_rus_away.iff,uniform_base,0A,0x4EDBB800,1501579,3,1024x1024,565
0x270BF19D,player_head_id_0822.iff,player_portrait,0B,0x24AB2800,992048,3,512x512,DXT4_5
0x277F7B61,player_head_id_0733.iff,player_portrait,0B,0x23757800,1007445,3,512x512,DXT4_5
0x27914B85,,uniform_base/scenery?,0A,0x42B5F000,1231233,3,1024x1024,565
0x284B1499,player_head_id_0427.iff,player_portrait,0B,0x20502000,1003922,3,512x512,DXT4_5
0x29F1595F,,uniform_base/scenery?,0A,0x53148800,1503671,3,1024x1024,565
0x2A9900ED,,unknown_texture,0A,0x4628000,93210,3,512x512,DXT1
